category,value
Other,57.99566576610335
Food,21.864821166993786
Transportation,8.46302405840472
Drinks,4.303050472599204
Sex,3.157649241509068
Events,1.3715465668098309
Drugs,1.236855138582805
Home,1.1532625984963825
Dues,0.4541249905008477
