Id,username,name,is_crawled
185,user185,Adaptable Seal,False
186,user186,Adaptable Shark,False
187,user187,Adaptable Sheep,False
188,user188,Adaptable Shrew,False
189,user189,Adaptable Siamang,False
190,user190,Adaptable Skunk,False
191,user191,Adaptable Sloth,False
192,user192,Adaptable Snail,False
193,user193,Adaptable Snake,False
194,user194,Adaptable Spider,False
195,user195,Adaptable Squid,False
196,user196,Adaptable Squirrel,False
197,user197,Adaptable Starling,False
198,user198,Adaptable Stegosaurus,False
199,user199,Adaptable Swan,False
200,user200,Adaptable Tapir,False
201,user201,Adaptable Tarsier,False
202,user202,Adaptable Termite,False
203,user203,Adaptable Tiger,False
204,user204,Adaptable Toad,False
205,user205,Adaptable Turkey,False
206,user206,Adaptable Vicuña,False
207,user207,Adaptable Wallaby,False
208,user208,Adaptable Walrus,False
209,user209,Adaptable Wasp,False
210,user210,Adaptable Water buffalo,False
211,user211,Adaptable Weasel,False
212,user212,Adaptable Whale,False
213,user213,Adaptable Wolf,False
214,user214,Adaptable Wolverine,False
215,user215,Adaptable Wombat,False
216,user216,Adaptable Wren,False
217,user217,Adaptable Yak,False
218,user218,Adaptable Zebra,False
219,user219,Adaptable Angelfish,False
220,user220,Adaptable Bearded dragon,False
221,user221,Adaptable Capybara,False
222,user222,Adaptable Cardinal,False
223,user223,Adaptable Cougar,False
224,user224,Adaptable Dingo,False
225,user225,Adaptable Egret,False
226,user226,Adaptable Iguana,False
227,user227,Adaptable Jackrabbit,False
228,user228,Adaptable Kookaburra,False
229,user229,Adaptable Lechwe,False
230,user230,Adaptable Ocelot,False
231,user231,Adaptable Orca,False
232,user232,Adaptable Stork,False
233,user233,Adaptable Tortoise,False
234,user234,Adorable Aardvark,False
235,user235,Adorable Albatross,False
236,user236,Adorable Alligator,False
237,user237,Adorable Alpaca,False
238,user238,Adorable Ant,False
239,user239,Adorable Anteater,False
240,user240,Adorable Antelope,False
241,user241,Adorable Ape,False
242,user242,Adorable Armadillo,False
243,user243,Adorable Baboon,False
244,user244,Adorable Badger,False
245,user245,Adorable Barracuda,False
246,user246,Adorable Bat,False
247,user247,Adorable Bear,False
248,user248,Adorable Beaver,False
249,user249,Adorable Bee,False
250,user250,Adorable Bird,True
251,user251,Adorable Bison,False
252,user252,Adorable Boar,False
253,user253,Adorable Buffalo,False
254,user254,Adorable Butterfly,False
255,user255,Adorable Camel,False
256,user256,Adorable Caribou,False
257,user257,Adorable Cassowary,False
258,user258,Adorable Cat,False
259,user259,Adorable Caterpillar,False
260,user260,Adorable Cattle,False
261,user261,Adorable Chameleon,False
262,user262,Adorable Chamois,False
263,user263,Adorable Cheetah,False
264,user264,Adorable Chicken,False
265,user265,Adorable Chimpanzee,False
266,user266,Adorable Chinchilla,False
267,user267,Adorable Chough,False
268,user268,Adorable Coati,False
269,user269,Adorable Cobra,False
270,user270,Adorable Cockroach,False
271,user271,Adorable Cod,False
272,user272,Adorable Cormorant,False
273,user273,Adorable Coyote,False
274,user274,Adorable Crab,False
275,user275,Adorable Crane,False
276,user276,Adorable Crocodile,False
277,user277,Adorable Crow,False
278,user278,Adorable Curlew,False
279,user279,Adorable Deer,False
280,user280,Adorable Dinosaur,False
281,user281,Adorable Dog,False
282,user282,Adorable Dogfish,False
283,user283,Adorable Dolphin,False
284,user284,Adorable Donkey,False
285,user285,Adorable Dotterel,False
286,user286,Adorable Dove,False
287,user287,Adorable Dragonfly,False
288,user288,Adorable Duck,False
289,user289,Adorable Dugong,False
290,user290,Adorable Dunlin,True
291,user291,Adorable Eagle,False
292,user292,Adorable Echidna,False
293,user293,Adorable Eel,False
294,user294,Adorable Eland,False
295,user295,Adorable Elephant,False
296,user296,Adorable Elephant seal,False
297,user297,Adorable Elk,False
298,user298,Adorable Emu,False
299,user299,Adorable Falcon,False
300,user300,Adorable Ferret,False
301,user301,Adorable Finch,False
302,user302,Adorable Fish,False
303,user303,Adorable Flamingo,False
304,user304,Adorable Fly,False
305,user305,Adorable Fox,False
306,user306,Adorable Frog,False
307,user307,Adorable Gaur,False
308,user308,Adorable Gazelle,False
309,user309,Adorable Gerbil,False
310,user310,Adorable Giant panda,False
311,user311,Adorable Giraffe,False
312,user312,Adorable Gnat,False
313,user313,Adorable Gnu,False
314,user314,Adorable Goat,False
